Name,Latitude,Longitude
"isoma karion",37.4333333,22.05
"char dehunda",24.4833333,90.9
"tabase",-30.524965,28.327818
"stensjo",57.35,16.466667
"morselj",42.305833,20.566389
"akpenembel",7.2529,8.7614
"haji ismail hot jo wahan",26.48244,68.084009
"sooudanga",13.7166667,15.7
"man niu-chang",23.7,98.6166667
"kpou",8.9833333,-11.8166667
"glinovo",58.916667,34.8
"tanakadumuka",-9.6317,119.2794
"fansen",61.116667,16.233333
"chah bhirkiwala",30.096304,71.33957
"demnevo",56.867816,39.49218
"jda",13.6666667,-14.9333333
"merkstein-worm",50.883333,6.066667
"znaktia",31.997316,-9.137453
"rainbow hills",41.9194444,-88.37
"kotow",49.527901,20.899125
"calbecht",52.083333,10.383333
"san jose ayotla",19.916667,-98.05
"yingwuhsi",28.054444,108.185556
"resle",47.666667,10.883333
"mkule",-14.1,33.7833333
"ban kounleu",20.183333,102.183333
"phumi thma samlieng",11.4333333,104.5
"sukakarangan",-2.383333,103.783333
"zoulla",10.4,15.2833333
"jumma khan baloch",26.286618,68.743423
"inarigol",41.8213889,129.7044444
"jarochow",52.182655,19.177351
"matang neuheun",5.0158,97.6966
"zarzular",14.4833333,-87.1
"vergoja",40.0066667,20.0088889
"`algeh faqih",34.4224,46.4683
"la queseria",-34.65,-71.816667
"san poolo",-15.4,-67.9333333
"sannac",45.202624,3.675352
"verjani",41.4525,19.7861111
"driptschewo",41.9833333,26.2166667
"new jasper",39.6541667,-83.8194444
"m'beblala",9.953097,-7.138076
"arakilise",40.966667,42.616667
"les charmes",-20.5833333,164.4166667
"yuliu",30.227794,114.865954
"tuiloplatzan",14.816667,-91.633333
"buli-ketjil",-0.083333,127.266667
"alt tabor",49.377523,14.702868
"shavatki-bolo",39.4022222,68.8841667
"kayikawala",6.3666667,80.0166667
"herbe",44.69224,-1.236366
"yttersbenning",60.25,16.216667
"delaney corner",39.2991667,-75.7475
"bushbury",52.616667,-2.116667
"boneh-ye ghalim",31.8896,48.9845
